dataset,operator,epsilon,generated,accepted,acceptance_rate,source_fidelity_mean,source_fidelity_min,nearest_same_class_train_fidelity_mean,energy_drift_absolute_mean,magnetization_x_drift_absolute_mean,magnetization_z2_drift_absolute_mean,accepted_mean_pairwise_fidelity,accepted_diversity_one_minus_mean_fidelity,accepted_source_coverage
blocked,field,0.0,20,20,1.0,1.0,0.9999999999999993,1.0,0.0,0.0,0.0,0.8211804590544142,0.17881954094558583,20
blocked,field,0.1,20,17,0.85,0.9980792323329751,0.9970158865990089,0.998079308551706,0.006571343743885216,1.8041124150158794e-16,0.0013322774811464072,0.8090991157243339,0.1909008842756661,17
blocked,field,0.2,20,16,0.8,0.9923444536028022,0.988108419723254,0.9923498779378296,0.0262197162810462,2.5951463200613033e-16,0.005315798248385672,0.8052288671707866,0.19477113282921343,16
blocked,field,0.4,20,7,0.35,0.9698133643946095,0.9531432974443353,0.969968313148818,0.10383356777715289,1.6792123247455492e-16,0.02105126889235005,0.9022285218389696,0.09777147816103038,7
blocked,field,0.8,20,0,0.0,0.885923474884048,0.8234103416618915,0.8877425661100862,0.3989412338496822,1.5681900222830337e-16,0.08088154308671905,,,0
blocked,interaction,0.0,20,20,1.0,1.0,0.9999999999999993,1.0,0.0,0.0,0.0,0.8211804590544142,0.17881954094558583,20
blocked,interaction,0.1,20,17,0.85,0.9979943227019834,0.9968343469759325,0.9979943336346458,0.009747164171170719,0.0022679154382531626,1.1102230246251565e-16,0.8157945842741974,0.18420541572580262,17
blocked,interaction,0.2,20,7,0.35,0.9920099670709185,0.9873917511699428,0.9920112641026554,0.038858902927324454,0.009041471377194943,7.771561172376095e-17,0.9803218791052104,0.019678120894789597,7
blocked,interaction,0.4,20,7,0.35,0.9685563154606592,0.9504257916065875,0.9685977874316161,0.15337640350451803,0.03568676050419543,7.494005416219807e-17,0.9535207177001768,0.04647928229982323,7
blocked,interaction,0.8,20,2,0.1,0.8820943279117074,0.8147626190709072,0.8840691329105912,0.5816159381364683,0.13532713126297571,5.2735593669694933e-17,0.9962396719651634,0.003760328034836613,2
random,field,0.0,20,20,1.0,1.0000000000000004,0.9999999999999996,1.0,0.0,0.0,0.0,0.7909338058518978,0.20906619414810224,20
random,field,0.1,20,16,0.8,0.9982024404422521,0.9970159618898244,0.9982025336570294,0.006374097549876545,1.8596235662471373e-16,0.0012900792932403343,0.7778159003227876,0.22218409967721242,16
random,field,0.2,20,16,0.8,0.9928357258808053,0.9881089084723286,0.9928413538771672,0.025432702323781343,2.8727020762175924e-16,0.005147427127106141,0.7665108862935348,0.2334891137064652,16
random,field,0.4,20,9,0.45,0.9717537198226232,0.9531481791447514,0.9718850895886904,0.1007168877110037,1.9012569296705805e-16,0.020384496832511652,0.8832714492752483,0.11672855072475175,9
random,field,0.8,20,9,0.45,0.8933033483593279,0.8234735508592702,0.8957205678253592,0.38696656883795155,1.2073675392798576e-16,0.07831972349462632,0.6667738712120977,0.33322612878790225,9
random,interaction,0.0,20,20,1.0,1.0000000000000004,0.9999999999999996,1.0,0.0,0.0,0.0,0.7909338058518978,0.20906619414810224,20
random,interaction,0.1,20,17,0.85,0.9979809555079238,0.9967947079004877,0.9979809627359547,0.010324726949244111,0.0022398233010312574,1.1102230246251565e-16,0.7825291895003263,0.21747081049967365,17
random,interaction,0.2,20,9,0.45,0.9919571372330838,0.9872342541126284,0.9919573685955949,0.0411614655530758,0.008929476789419757,7.216449660063518e-17,0.9152670580655994,0.08473294193440062,9
random,interaction,0.4,20,8,0.4,0.9683550303232504,0.949812483110367,0.9684005526866273,0.16246463677353518,0.03524471696228017,8.881784197001253e-17,0.8905650834503341,0.10943491654966586,8
random,interaction,0.8,20,6,0.3,0.881438156608203,0.8125597692380994,0.882160384398467,0.6160792662494308,0.13365086579153615,4.718447854656915e-17,0.7973501576549645,0.20264984234503547,6
