strength,class,kernel,mmd,physics_error
0.0,0,global,0.0,0.0
0.0,0,1-rdm,0.0,0.0
0.0,0,2-rdm,0.0,0.0
0.0,1,global,0.0,0.0
0.0,1,1-rdm,0.0,0.0
0.0,1,2-rdm,0.0,0.0
0.05,0,global,0.0008294529187933275,0.00017672887335729026
0.05,0,1-rdm,0.0,0.00017672887335729026
0.05,0,2-rdm,0.00036666776839089366,0.00017672887335729026
0.05,1,global,0.00014610342130350062,4.640682798928708e-05
0.05,1,1-rdm,0.0,4.640682798928708e-05
0.05,1,2-rdm,4.1381963793440946e-05,4.640682798928708e-05
0.15,0,global,0.007452642249105468,0.001587910583443486
0.15,0,1-rdm,0.0,0.001587910583443486
0.15,0,2-rdm,0.003294821866553388,0.001587910583443486
0.15,1,global,0.0013127406097133143,0.0004169657844152741
0.15,1,1-rdm,0.0,0.0004169657844152741
0.15,1,2-rdm,0.0003718929186802278,0.0004169657844152741
0.3,0,global,0.02964319871845089,0.006315981285401978
0.3,0,1-rdm,0.0,0.006315981285401978
0.3,0,2-rdm,0.013109461553382218,0.006315981285401978
0.3,1,global,0.005221481114859872,0.001658498985068313
0.3,1,1-rdm,0.0,0.001658498985068313
0.3,1,2-rdm,0.0014802327166121287,0.001658498985068313
