direction,source_status,source_norm,target_index,class,probe_status,global_mmd_delta,2rdm_delta,physics_delta,mx_error_delta,mz2_error_delta,class_separation_delta,target_objective_delta,non_target_mean_delta,same_class_non_target_mean_delta,other_class_mean_delta,target_physics_delta
realization_class-0-00125/forward-0,valid,0.6910305666001081,0,0,evaluated,0.00559593180335477,0.00031631256775660477,0.0018076991661794828,0.0050233702930950475,-0.0014079719607360819,-0.0019740463970681077,-0.011497869090191654,0.0080379033595757,0.003802298360619701,0.011214607108792699,-0.0008584589832602452
realization_class-0-00125/forward-1,valid,0.8049816756261647,1,0,evaluated,0.007935470980479808,0.0052589324147545025,0.00012896503353716782,-0.004908171486094265,0.005166101553168587,-0.00854480215649761,-0.04663299861837322,0.015730966637458838,0.028545785245169503,0.006119852681675836,-0.012828495536057624
realization_class-0-00125/forward-2,valid,0.9297746170457927,2,0,evaluated,0.004645546296196901,0.0013132929831483342,0.0003522829421536561,0.000715031428075108,-1.0465543767816665e-05,-0.002664907663500138,-0.02812717791245682,0.009327364040290291,0.015433308931512513,0.004747905371873626,-0.005454937361738146
realization_class-0-00125/forward-3,valid,0.7014983098499381,3,0,evaluated,0.008536944347260433,0.0037611304585672134,0.002807326898504034,0.004786158702610996,0.0008284950943970859,-0.0043216123621384606,-0.02870003680718694,0.01385651308361007,0.008781922261643224,0.017662456200085205,-0.006411548240097167
realization_class-1-00034/forward-0,valid,0.7911542744049533,4,1,evaluated,0.0062346734163531425,-0.0018844614418688788,-0.0020662738204407644,-0.005357187396968666,0.0012246397560871439,-0.004572977345069007,-0.04969644954848018,0.014224833839900756,0.013968837500876463,0.014416831094168976,-0.029295354043219562
realization_class-1-00034/forward-1,valid,1.1919500161081886,5,1,evaluated,0.009451406579860155,0.007077711211131654,0.0031650613952446394,0.0070787831339627905,-0.0007486603434735187,0.002503083208353629,-0.056563135389060604,0.018882055432563057,0.014258892994682137,0.022349427260973748,-0.005859007736341286
realization_class-1-00034/forward-2,valid,0.831002403177844,6,1,evaluated,0.009137121257836556,0.0005156779391567445,-0.0011625785184173204,-0.0024828592145589162,0.00015770217772427542,-0.0019839319520001952,-0.046339731053942845,0.017062385873805073,0.009108333590735873,0.023027925086106973,-0.028437234098351
realization_class-1-00034/forward-3,valid,0.8051946258170056,7,1,evaluated,0.006914685445017221,0.007922516731525164,0.0009710376882419575,0.0005089608069595436,0.0014331145695243505,4.41875560680538e-05,-0.045638818954743976,0.014422328930697411,-0.0025270956774267237,0.027134397386790514,-0.021048024595088588
global_mmd,valid,0.25259045802783114,,,evaluated,-0.0008868277836036609,-0.003270778221254822,-0.0005309214660457334,0.0007833892983904328,-0.0018452322304818927,6.561488876644095e-05,,-0.0008868277836036522,,,
class_0_aggregate,valid,0.47507718591240117,,0,evaluated,0.004769111184558639,0.0010283664225268219,0.0009742195567469386,0.0009956349135584464,0.0009528041999354447,-0.004287256220206925,-0.00294153645235698,0.012479758821474285,,0.012479758821474285,-0.00014423255712103095
class_1_aggregate,valid,0.4466474214928878,,1,evaluated,0.003822448980697224,0.0010717813653223218,-0.0005770955036416975,0.00028385743023327803,-0.0014380484375166522,0.002855532494584756,-0.016840414861612807,0.02448531282300731,,0.02448531282300731,-0.0035389972825159433
2rdm_mmd,valid,0.259481733590818,,,evaluated,-0.0006326277458201246,-0.009093728061176753,-0.00262637315954016,-0.002884356284299644,-0.0023683900347806763,0.004003108676067735,,-0.0006326277458200899,,,
