direction,global_derivative,class0_derivative,class1_derivative,2rdm_derivative,physics_derivative,reconstructed_global,reconstruction_residual,reconstruction_tolerance,reconstruction_pass
0,-0.17480370417041685,-0.2739393099981102,-0.07566809834272345,-0.20615295049435362,-0.020020326971789498,-0.17480370417041713,-2.7755575615628914e-16,1.8480370417041687e-09,True
1,0.06017801924243431,0.271380170563161,-0.15102413207829235,0.006829074518398907,-0.021809197270280987,0.06017801924243393,-3.7470027081099033e-16,7.017801924243431e-10,True
2,-0.12398320344351992,-0.02111243640190256,-0.22685397048513728,-0.05530381746001697,-0.016639941530930635,-0.12398320344351965,2.636779683484747e-16,1.3398320344351992e-09,True
3,-0.10267940045914101,-0.06052536752329178,-0.14483343339499005,-0.07451697261182888,-0.03536204878212148,-0.10267940045914095,5.551115123125783e-17,1.1267940045914102e-09,True
4,0.2554197031239499,0.10645567669487692,0.4043837295530232,0.19756900627025548,0.0407568790957998,0.2554197031239499,0.0,2.654197031239499e-09,True
5,0.22550463831035725,0.3971089522712775,0.05390032434943626,0.20786862183692617,0.11508590046288399,0.2255046383103569,-3.608224830031759e-16,2.3550463831035726e-09,True
6,-0.014796581363033894,0.20692211079639478,-0.23651527352246257,0.11606807269654333,0.020164732969249387,-0.01479658136303412,-2.255140518769849e-16,2.4796581363033893e-10,True
7,0.364932137920135,0.5100329980869622,0.2198312777533081,0.191473318275965,0.05374288476640251,0.36493213792013546,4.440892098500626e-16,3.74932137920135e-09,True
8,0.23182037700557973,0.009975715827086711,0.4536650381840731,0.20647675277426966,0.06339245306830082,0.2318203770055802,4.718447854656915e-16,2.4182037700557973e-09,True
9,0.0903103016816583,-0.16649710986237282,0.3471177132256894,-0.07859221521082946,0.015132318373668463,0.09031030168165845,1.5265566588595902e-16,1.003103016816583e-09,True
10,-0.009869129409981747,-0.0899988519733889,0.07026059315342541,-0.19560037433721256,-0.10686570972078813,-0.009869129409981678,6.938893903907228e-17,1.9869129409981749e-10,True
11,0.13717565560293282,-0.22368560139995702,0.498036912605823,0.1750878109035875,0.07383838209231336,0.1371756556029328,-2.7755575615628914e-17,1.4717565560293284e-09,True
12,0.07087268113670886,0.0703861443938451,0.07135921787957338,0.11827268884520996,0.033855940453864045,0.0708726811367093,4.440892098500626e-16,8.087268113670885e-10,True
13,0.2266853355768561,0.28614385977841295,0.16722681137529877,0.18424951312196866,0.037112421625848935,0.22668533557685588,-2.220446049250313e-16,2.3668533557685613e-09,True
14,-0.05885390007072185,-0.36275004979226944,0.24504224965082608,-0.14405140192417548,0.008549658911373714,-0.05885390007072171,1.457167719820518e-16,6.885390007072185e-10,True
15,-0.27319397680418395,-0.5459590885438694,-0.0004288650644986477,0.03498320816224754,0.07935722752918184,-0.2731939768041841,-1.6653345369377348e-16,2.8319397680418398e-09,True
16,-0.020206474253994244,0.40041112218591857,-0.44082407069390706,-0.12890442433184085,-0.1398968285637262,-0.020206474253994244,0.0,3.0206474253994245e-10,True
17,0.040252561170205745,-0.34523014043500927,0.4257352627754204,0.06856205652662188,0.07332708863473703,0.040252561170205564,-1.8041124150158794e-16,5.025256117020574e-10,True
18,-0.11894886811355088,-0.020965964128257058,-0.21693177209884434,0.09070427355054533,0.013289663082597844,-0.11894886811355075,1.249000902703301e-16,1.2894886811355088e-09,True
19,0.12492281750863958,0.2379353036568473,0.011910331360431478,0.023752929783198984,-0.03239182373492735,0.12492281750863926,-3.191891195797325e-16,1.3492281750863959e-09,True
20,0.0660164294516911,-0.4014546068496091,0.5334874657529909,0.0927579593034957,0.0403699865179306,0.06601642945169064,-4.579669976578771e-16,7.60164294516911e-10,True
21,0.21325295228519114,0.4527522238303452,-0.02624631925996305,0.1496491833555865,0.03133565457016601,0.21325295228519064,-4.996003610813204e-16,2.2325295228519114e-09,True
22,-0.08088969416718847,-0.32720138481930006,0.16542199648492315,-0.21305897369075105,-0.08438723610516286,-0.08088969416718822,2.498001805406602e-16,9.088969416718847e-10,True
23,0.26382093042110366,0.37407674301665955,0.15356511782554744,0.10493556248463524,0.04609329633782374,0.26382093042110333,-3.3306690738754696e-16,2.7382093042110367e-09,True
24,-0.055160773917805425,-0.2221349509857366,0.11181340315012611,-0.20696322439374176,-0.09707715713014246,-0.055160773917805876,-4.510281037539698e-16,6.516077391780543e-10,True
25,-0.16497735854603013,0.036362634012252114,-0.36631735110431163,-0.15803076416617212,-0.11740971614482006,-0.16497735854602985,2.7755575615628914e-16,1.7497735854603014e-09,True
26,-0.020311656017102758,0.03009262709357604,-0.07071593912778193,0.08991712660806137,0.017900676955326378,-0.020311656017103004,-2.463307335887066e-16,3.0311656017102757e-10,True
27,-0.05835877569483561,0.12458080243519207,-0.24129835382486328,-0.2939583860609585,-0.08595410545728938,-0.05835877569483551,9.71445146547012e-17,6.83587756948356e-10,True
28,0.058698204510861204,0.15743868033276026,-0.040042271311037846,0.17176100029639874,0.12096350557576704,0.058698204510861024,-1.8041124150158794e-16,6.869820451086121e-10,True
29,-0.17584281048470873,-0.19838864469201098,-0.15329697627740688,0.0063133069784652536,-0.02776442475625816,-0.1758428104847091,-3.608224830031759e-16,1.8584281048470875e-09,True
30,0.0054927094996048975,-0.10755208239581242,0.11853750139502184,0.07231958302383731,0.041708102411015066,0.005492709499604578,-3.191891195797325e-16,1.5492709499604898e-10,True
31,0.06395538976640211,0.22433212358056398,-0.09642134404775904,0.007541714177825565,0.01753287719827602,0.06395538976640243,3.191891195797325e-16,7.395538976640211e-10,True
