method,realization_index,class,objective_before,objective_after,objective_delta,improved,realization_id
global_mmd,0,0,0.17331040650774945,0.17626766123227466,0.00295725472452521,False,class-0-00125/forward-0
global_mmd,1,0,0.23887023649358122,0.2512998652331937,0.01242962873961248,False,class-0-00125/forward-1
global_mmd,2,0,0.13061297462002963,0.1238094313945235,-0.006803543225506137,True,class-0-00125/forward-2
global_mmd,3,0,0.23548374772649555,0.2469736764267863,0.011489928700290752,False,class-0-00125/forward-3
global_mmd,4,1,0.3711651611470371,0.3620490478233359,-0.009116113323701214,True,class-1-00034/forward-0
global_mmd,5,1,0.2637124173901349,0.2552242359802149,-0.008488181409920026,True,class-1-00034/forward-1
global_mmd,6,1,0.49682048489669733,0.4900264326800642,-0.006794052216633151,True,class-1-00034/forward-2
global_mmd,7,1,0.5749523384991158,0.5721827942416193,-0.0027695442574964257,True,class-1-00034/forward-3
2rdm,0,0,0.17331040650774945,0.17680228027358438,0.0034918737658349297,False,class-0-00125/forward-0
2rdm,1,0,0.23887023649358122,0.25114809911131863,0.012277862617737417,False,class-0-00125/forward-1
2rdm,2,0,0.13061297462002963,0.12203314055502462,-0.00857983406500501,True,class-0-00125/forward-2
2rdm,3,0,0.23548374772649555,0.2416381324617093,0.006154384735213736,False,class-0-00125/forward-3
2rdm,4,1,0.3711651611470371,0.34318620509756076,-0.027978956049476367,True,class-1-00034/forward-0
2rdm,5,1,0.2637124173901349,0.28213889691030203,0.018426479520167127,False,class-1-00034/forward-1
2rdm,6,1,0.49682048489669733,0.4741036914417241,-0.02271679345497324,True,class-1-00034/forward-2
2rdm,7,1,0.5749523384991158,0.5888162994630564,0.013863960963940603,False,class-1-00034/forward-3
conflict_tau_1p0,0,0,0.17331040650774945,0.17355412223810845,0.00024371573035900096,False,class-0-00125/forward-0
conflict_tau_1p0,1,0,0.23887023649358122,0.2535718242161488,0.014701587722567605,False,class-0-00125/forward-1
conflict_tau_1p0,2,0,0.13061297462002963,0.12040105915630799,-0.010211915463721646,True,class-0-00125/forward-2
conflict_tau_1p0,3,0,0.23548374772649555,0.24619180943259134,0.010708061706095784,False,class-0-00125/forward-3
conflict_tau_1p0,4,1,0.3711651611470371,0.3625963454609442,-0.008568815686092912,True,class-1-00034/forward-0
conflict_tau_1p0,5,1,0.2637124173901349,0.25958453671832477,-0.004127880671810136,True,class-1-00034/forward-1
conflict_tau_1p0,6,1,0.49682048489669733,0.48909220233891765,-0.0077282825577796865,True,class-1-00034/forward-2
conflict_tau_1p0,7,1,0.5749523384991158,0.5753828389243864,0.00043050042527059684,False,class-1-00034/forward-3
physics_conflict_tau_1p0,0,0,0.17331040650774945,0.19444101012795845,0.021130603620208993,False,class-0-00125/forward-0
physics_conflict_tau_1p0,1,0,0.23887023649358122,0.2603320109775243,0.02146177448394307,False,class-0-00125/forward-1
physics_conflict_tau_1p0,2,0,0.13061297462002963,0.12609575131762715,-0.004517223302402479,True,class-0-00125/forward-2
physics_conflict_tau_1p0,3,0,0.23548374772649555,0.2703730466353172,0.03488929890882164,False,class-0-00125/forward-3
physics_conflict_tau_1p0,4,1,0.3711651611470371,0.3325312777471111,-0.03863388339992602,True,class-1-00034/forward-0
physics_conflict_tau_1p0,5,1,0.2637124173901349,0.30711867621723776,0.04340625882710286,False,class-1-00034/forward-1
physics_conflict_tau_1p0,6,1,0.49682048489669733,0.45957744800761624,-0.037243036889081094,True,class-1-00034/forward-2
physics_conflict_tau_1p0,7,1,0.5749523384991158,0.5899218853046403,0.014969546805524536,False,class-1-00034/forward-3
