condition,domain,mode,step,aggregate_mmd,physics_error,Mx_order,Mz2_order
STANDARD_MEAN,seen,isolated,1,0.3180586596853513,0.27718005774191756,True,True
STANDARD_MEAN,seen,isolated,2,0.4486771417578121,0.19744961797336974,True,True
STANDARD_MEAN,seen,rollout,2,0.446975052462075,0.20256025095863606,True,True
STANDARD_MEAN,seen,rollout,1,0.8663690393762009,0.5197626204242797,True,True
STANDARD_MEAN,unseen,isolated,1,0.5226524346649197,0.3671088711312629,True,True
STANDARD_MEAN,unseen,isolated,2,0.2631405644636481,0.3679970277411454,False,True
STANDARD_MEAN,unseen,rollout,2,0.2638169763631844,0.3654118673467548,False,True
STANDARD_MEAN,unseen,rollout,1,0.9426251791004805,0.5890277823202863,True,True
STANDARD_MEAN,validation,isolated,1,0.5234277423432961,0.20088362247239028,True,True
STANDARD_MEAN,validation,isolated,2,0.30939634806548505,0.3123889244755761,True,False
STANDARD_MEAN,validation,rollout,2,0.31105488099017153,0.31564751817462794,True,False
STANDARD_MEAN,validation,rollout,1,0.9446722603922357,0.42476422415912785,True,True
CLASS_MEDIAN_REALIZATION,seen,isolated,1,0.3138636084927405,0.28601769236898533,True,True
CLASS_MEDIAN_REALIZATION,seen,isolated,2,0.4500622598745778,0.1990846716993144,True,True
CLASS_MEDIAN_REALIZATION,seen,rollout,2,0.4465973706058659,0.20008615652793496,True,True
CLASS_MEDIAN_REALIZATION,seen,rollout,1,0.9130710347401453,0.5128179813425979,True,True
CLASS_MEDIAN_REALIZATION,unseen,isolated,1,0.563438065551984,0.4248777633643057,True,True
CLASS_MEDIAN_REALIZATION,unseen,isolated,2,0.2662679990593421,0.36748352115512095,False,True
CLASS_MEDIAN_REALIZATION,unseen,rollout,2,0.26507128987848605,0.36545940342490474,False,True
CLASS_MEDIAN_REALIZATION,unseen,rollout,1,0.9431524867130956,0.6212633846123152,False,False
CLASS_MEDIAN_REALIZATION,validation,isolated,1,0.5853472842911636,0.27980527064941735,True,True
CLASS_MEDIAN_REALIZATION,validation,isolated,2,0.3095449971451536,0.31640625665077865,True,False
CLASS_MEDIAN_REALIZATION,validation,rollout,2,0.30984461916769185,0.3161088421992299,True,False
CLASS_MEDIAN_REALIZATION,validation,rollout,1,0.9435428688143828,0.46980728346359224,True,False
