N_train,domain,mode,step,aggregate_mmd,physics_error,Mx_order,Mz2_order
1,seen,isolated,1,0.19326187001981177,0.15150988345577365,True,True
1,seen,isolated,2,0.14277437686888517,0.05930392724507293,True,True
1,seen,rollout,2,0.146575520773654,0.06605254714380436,True,True
1,seen,rollout,1,0.2559641990834718,0.14095645207321209,True,True
1,unseen,isolated,1,0.754791421846596,0.5290222633852275,False,True
1,unseen,isolated,2,0.28302226371379247,0.3738723656896443,False,False
1,unseen,rollout,2,0.28262864446490576,0.37387000942289256,False,False
1,unseen,rollout,1,0.9387656311806483,0.5650412318773629,True,True
1,validation,isolated,1,0.806732173077983,0.4516144696567311,False,True
1,validation,isolated,2,0.30764226501117475,0.3879669657717027,False,False
1,validation,rollout,2,0.30685347331576684,0.3881989822027867,False,False
1,validation,rollout,1,0.9432371393536667,0.48545557246664417,False,False
4,seen,isolated,1,0.31859635604124137,0.27479887094559796,True,True
4,seen,isolated,2,0.4696052536848329,0.20913976098198964,True,True
4,seen,rollout,2,0.47647020603878,0.20717171116596117,True,True
4,seen,rollout,1,0.8940390986298514,0.5055642901302215,True,True
4,unseen,isolated,1,0.550965256255763,0.40085668585268996,True,True
4,unseen,isolated,2,0.2628228176572864,0.3721003852299496,False,True
4,unseen,rollout,2,0.2623851542832849,0.3705756122460343,False,True
4,unseen,rollout,1,0.9355056011234986,0.6146529788839399,False,False
4,validation,isolated,1,0.5611922471288643,0.24025756806800863,True,True
4,validation,isolated,2,0.3217528475216985,0.31420172243517963,True,False
4,validation,rollout,2,0.3222234560970419,0.31432770823240463,True,False
4,validation,rollout,1,0.95487366036153,0.44046707856209544,True,False
8,seen,isolated,1,0.30838280100313126,0.2915257218261239,True,True
8,seen,isolated,2,0.3701691865384671,0.25045025505448815,True,True
8,seen,rollout,2,0.36892983090000364,0.2476913617302734,True,True
8,seen,rollout,1,0.9277562730754345,0.577903951496864,True,True
8,unseen,isolated,1,0.522321869986319,0.38409917437068064,True,True
8,unseen,isolated,2,0.2522226607267124,0.3542957563209275,False,True
8,unseen,rollout,2,0.2532392942988637,0.35804002886691827,False,True
8,unseen,rollout,1,0.8991610394594921,0.6056957391510573,False,True
8,validation,isolated,1,0.5186348286144951,0.21917276231151905,True,True
8,validation,isolated,2,0.2927145087503165,0.29784147863437077,True,True
8,validation,rollout,2,0.29198616844795217,0.30182858591842,True,True
8,validation,rollout,1,0.9123141864627089,0.44262873057973995,True,True
