condition,domain,mode,step,aggregate_mmd,physics_error,Mx_order,Mz2_order
PER_OUTCOME_ENSEMBLE_MMD,seen,isolated,1,0.3180586596853513,0.27718005774191756,True,True
PER_OUTCOME_ENSEMBLE_MMD,seen,isolated,2,0.4486771417578121,0.19744961797336974,True,True
PER_OUTCOME_ENSEMBLE_MMD,seen,rollout,2,0.446975052462075,0.20256025095863606,True,True
PER_OUTCOME_ENSEMBLE_MMD,seen,rollout,1,0.8663690393762009,0.5197626204242797,True,True
PER_OUTCOME_ENSEMBLE_MMD,unseen,isolated,1,0.5226524346649197,0.3671088711312629,True,True
PER_OUTCOME_ENSEMBLE_MMD,unseen,isolated,2,0.2631405644636481,0.3679970277411454,False,True
PER_OUTCOME_ENSEMBLE_MMD,unseen,rollout,2,0.2638169763631844,0.3654118673467548,False,True
PER_OUTCOME_ENSEMBLE_MMD,unseen,rollout,1,0.9426251791004805,0.5890277823202863,True,True
PER_OUTCOME_ENSEMBLE_MMD,validation,isolated,1,0.5234277423432961,0.20088362247239028,True,True
PER_OUTCOME_ENSEMBLE_MMD,validation,isolated,2,0.30939634806548505,0.3123889244755761,True,False
PER_OUTCOME_ENSEMBLE_MMD,validation,rollout,2,0.31105488099017153,0.31564751817462794,True,False
PER_OUTCOME_ENSEMBLE_MMD,validation,rollout,1,0.9446722603922357,0.42476422415912785,True,True
COMBINED_ENSEMBLE_MMD,seen,isolated,1,0.3692384465681905,0.325664358242924,True,True
COMBINED_ENSEMBLE_MMD,seen,isolated,2,0.40060770238818033,0.16521061770441273,True,True
COMBINED_ENSEMBLE_MMD,seen,rollout,2,0.3857500515274947,0.17333040482414902,True,True
COMBINED_ENSEMBLE_MMD,seen,rollout,1,0.8272876040344271,0.46326288112534353,True,True
COMBINED_ENSEMBLE_MMD,unseen,isolated,1,0.550375177801606,0.4042473991511135,True,True
COMBINED_ENSEMBLE_MMD,unseen,isolated,2,0.23135949043456452,0.345809436413374,True,True
COMBINED_ENSEMBLE_MMD,unseen,rollout,2,0.23278189683313683,0.3492132439011204,True,True
COMBINED_ENSEMBLE_MMD,unseen,rollout,1,0.8997349858127024,0.5336393753258784,True,True
COMBINED_ENSEMBLE_MMD,validation,isolated,1,0.5275321754642255,0.2319586249164926,True,True
COMBINED_ENSEMBLE_MMD,validation,isolated,2,0.28799488660604067,0.309938553911773,True,False
COMBINED_ENSEMBLE_MMD,validation,rollout,2,0.2855936347749347,0.31062448243300106,True,False
COMBINED_ENSEMBLE_MMD,validation,rollout,1,0.9224483308002867,0.43494590202178823,True,False
